take_id,sequence,chapter,cue_first,cue_last,start,end,available_seconds,word_count,effective_wpm,timing_flag,text,recording_status
T074,S7,The exceptions that matter,130,130,00:08:01.149,00:08:04.979,3.830,10,160.9,NORMAL,A colorful car becomes memorable because the road is neutral.,KOKORO_CANONICAL_DELIVERY_V1_0
T075,S7,The exceptions that matter,131,131,00:08:04.979,00:08:08.945,3.966,10,170.0,NORMAL,An ornate wordmark stands out because competitors use plain type.,KOKORO_CANONICAL_DELIVERY_V1_0
T076,S7,The exceptions that matter,132,133,00:08:08.945,00:08:15.937,6.992,15,132.9,NORMAL,A restaurant filled with local materials becomes a destination because the standardized alternative is everywhere.,KOKORO_CANONICAL_DELIVERY_V1_0
T077,S7,The exceptions that matter,134,135,00:08:16.787,00:08:21.970,5.183,13,153.8,NORMAL,This is why design moves in cycles. A solution spreads because it works.,KOKORO_CANONICAL_DELIVERY_V1_0
T078,S7,The exceptions that matter,136,136,00:08:21.970,00:08:25.255,3.285,8,175.8,NORMAL,It becomes a convention because it is copied.,KOKORO_CANONICAL_DELIVERY_V1_0
T079,S7,The exceptions that matter,137,137,00:08:25.255,00:08:30.730,5.475,12,166.3,NORMAL,Then the convention creates an opportunity for someone willing to break it.,KOKORO_CANONICAL_DELIVERY_V1_0
T080,S7,The exceptions that matter,138,138,00:08:31.560,00:08:34.960,3.400,8,145.5,NORMAL,Sameness contains the conditions for its own reversal.,KOKORO_CANONICAL_DELIVERY_V1_0
T081,S8,A more defensible answer,139,139,00:08:36.560,00:08:39.685,3.125,8,206.0,NORMAL,So why does everything look the same now?,KOKORO_CANONICAL_DELIVERY_V1_0
T082,S8,A more defensible answer,140,142,00:08:39.685,00:08:50.800,11.115,20,112.1,NORMAL,"Not because everything is the same. Across these cases, design happens inside systems rewarding legibility, familiarity, adaptability, and measurable performance.",KOKORO_CANONICAL_DELIVERY_V1_0
T083,S8,A more defensible answer,143,145,00:08:51.384,00:08:59.660,8.276,20,148.9,NORMAL,"Those pressures are real. They can help products function, interfaces remain usable, buildings get approved, and brands operate at scale.",KOKORO_CANONICAL_DELIVERY_V1_0
T084,S8,A more defensible answer,146,147,00:09:00.244,00:09:05.458,5.214,13,153.5,NORMAL,The problem begins when a useful constraint is mistaken for an aesthetic commandment.,KOKORO_CANONICAL_DELIVERY_V1_0
T085,S8,A more defensible answer,148,151,00:09:05.458,00:09:21.932,16.474,38,147.9,NORMAL,When “easy to recognize” becomes “must look familiar.” When “adaptable” becomes “without local character.” When “low risk” becomes “without a point of view.” The world does not have to become identical for difference to become harder to defend.,KOKORO_CANONICAL_DELIVERY_V1_0
T086,S8,A more defensible answer,152,152,00:09:22.517,00:09:26.800,4.283,10,171.9,NORMAL,And perhaps that is the hidden cost of frictionless design.,KOKORO_CANONICAL_DELIVERY_V1_0
T087,S8,A more defensible answer,153,153,00:09:26.800,00:09:30.793,3.993,10,154.6,NORMAL,We notice fewer bad surprises—but also fewer good ones.,KOKORO_CANONICAL_DELIVERY_V1_0
T088,S8,A more defensible answer,154,155,00:09:31.377,00:09:37.437,6.060,14,140.9,NORMAL,"Personality requires an argument. It may cost more, divide opinion, age badly, or fail.",KOKORO_CANONICAL_DELIVERY_V1_0
T089,S8,A more defensible answer,156,157,00:09:37.437,00:09:44.619,7.182,18,161.4,NORMAL,Many distinctive things began as choices that could not be defended by saying: everyone else is doing it.,KOKORO_CANONICAL_DELIVERY_V1_0
T090,S8,A more defensible answer,158,159,00:09:45.203,00:09:51.673,6.470,15,141.3,NORMAL,"Sameness is rarely imposed all at once. It accumulates, one reasonable decision at a time.",KOKORO_CANONICAL_DELIVERY_V1_0
T091,S8,A more defensible answer,160,161,00:09:51.994,00:09:56.960,4.966,12,150.9,NORMAL,And difference returns the same way: one defensible exception at a time.,KOKORO_CANONICAL_DELIVERY_V1_0
